Date	Open	High	Low	Close	Volume	Adj Close			
24/07/2006	5719.7	5835.2	5719.7	5833.9	1298199400	5833.9			
25/07/2006	5833.9	5872.8	5825.8	5851.2	1547468200	5851.2			
26/07/2006	5851.2	5878.7	5851.2	5877.1	1720193600	5877.1			
27/07/2006	5877.1	5936.8	5877.1	5929.5	1583646400	5929.5			
28/07/2006	5929.5	5982.5	5904.7	5974.9	1401927000	5974.9			
31/07/2006	5974.9	5977.2	5928.3	5928.3	1272181800	5928.3			
01/08/2006	5928.3	5949.8	5867.4	5880.8	1278757400	5880.8			
02/08/2006	5880.8	5932.1	5880.8	5932.1	1329175500	5932.1			
03/08/2006	5932.1	5940.7	5827.1	5838.4	1803150600	5838.4			
04/08/2006	5838.4	5893.3	5836.5	5889.4	1497892000	5889.4			
07/08/2006	5889.4	5889.4	5820.9	5828.8	945153000	5828.8			
08/08/2006	5828.8	5866.6	5818.1	5818.1	1551879200	5818.1			
09/08/2006	5818.1	5865.9	5778.2	5860.5	1440463400	5860.5			
10/08/2006	5860.5	5860.5	5752.6	5823.4	1763427200	5823.4			
11/08/2006	5823.4	5848.2	5797	5820.1	1397317100	5820.1			
14/08/2006	5820.1	5870.9	5820.1	5870.9	1029687300	5870.9			
15/08/2006	5870.9	5903.2	5845	5897.9	1340987000	5897.9			
16/08/2006	5897.9	5902.8	5848.7	5896.6	1734086800	5896.6			
17/08/2006	5896.6	5915	5888.8	5900.4	1391457600	5900.4			
18/08/2006	5900.4	5932.5	5900.2	5903.4	1492403600	5903.4			
21/08/2006	5903.4	5936.6	5883.8	5915.2	978829900	5915.2			
22/08/2006	5915.2	5939.2	5878.4	5902.6	1154758300	5902.6			
23/08/2006	5902.6	5906.3	5853.8	5860	1165203200	5860			
24/08/2006	5860	5892.3	5832.5	5869.1	1211904400	5869.1			
25/08/2006	5869.1	5893.6	5858.6	5878.6	1044447600	5878.6			
29/08/2006	5878.6	5921.3	5878.6	5888.3	1366248500	5888.3			
30/08/2006	5888.3	5945.3	5888.2	5929.3	1477304500	5929.3			
31/08/2006	5929.3	5937	5895	5906.1	1386764500	5906.1			
01/09/2006	5906.1	5967.7	5906.1	5949.1	1146154500	5949.1			
04/09/2006	5949.1	5986.6	5947.7	5986.6	992682800	5986.6			
05/09/2006	5986.6	5991.2	5956.3	5981.7	1190045900	5981.7			
06/09/2006	5981.7	5981.7	5926.2	5929.3	1270011200	5929.3			
07/09/2006	5929.3	5929.3	5853.3	5858.1	1574375200	5858.1			
08/09/2006	5858.1	5899	5858.1	5879.3	1015429900	5879.3			
11/09/2006	5879.3	5879.3	5820	5850.8	1089823200	5850.8			
12/09/2006	5850.8	5896.9	5824.2	5895.5	1864798600	5895.5			
13/09/2006	5895.5	5913.4	5874.5	5892.2	1867392000	5892.2			
14/09/2006	5892.2	5943.7	5869	5877.2	1798578000	5877.2			
15/09/2006	5877.2	5899.2	5864.8	5877	2071064200	5877			
18/09/2006	5877	5911.9	5870.4	5890.2	1211359000	5890.2			
19/09/2006	5890.2	5897.4	5831.8	5831.8	1436161600	5831.8			
20/09/2006	5831.8	5880.8	5820.9	5866.2	1828956400	5866.2			
21/09/2006	5866.2	5898.1	5848.5	5896.7	1846888400	5896.7			
22/09/2006	5896.7	5896.7	5820.4	5822.3	1246627000	5822.3			
25/09/2006	5822.3	5847	5774.5	5798.3	1770395600	5798.3			
26/09/2006	5798.3	5879.2	5798.3	5873.6	1651896700	5873.6			
27/09/2006	5873.6	5942.2	5872.8	5930.1	1883803000	5930.1			
28/09/2006	5930.1	5978.8	5930.1	5971.3	1469060100	5971.3			
29/09/2006	5971.3	6002.9	5950.1	5960.8	1618783100	5960.8			
02/10/2006	5960.8	5985.5	5950.9	5957.8	1628546500	5957.8			
03/10/2006	5957.8	5957.8	5897.3	5937.1	1939007400	5937.1			
04/10/2006	5937.1	5969.1	5921.5	5966.5	2142754800	5966.5			
05/10/2006	5966.5	6016.7	5966.5	6004.5	2145351000	6004.5			
06/10/2006	6004.5	6014.3	5978.1	6001.2	1628449100	6001.2			
09/10/2006	6001.2	6044.5	5994.8	6030.9	1338778100	6030.9			
10/10/2006	6030.9	6076.3	6030.2	6072.7	2058971800	6072.7			
11/10/2006	6072.7	6081.9	6044.7	6073.5	1672596700	6073.5			
12/10/2006	6073.5	6121.7	6069	6121.3	1338882600	6121.3			
13/10/2006	6121.3	6170.5	6105.3	6157.3	1451175800	6157.3			
16/10/2006	6157.3	6184.3	6149.3	6172.4	1285792400	6172.4			
17/10/2006	6172.4	6174.7	6105.8	6108.6	1485665600	6108.6			
18/10/2006	6108.6	6166.8	6108.6	6150.4	1750405800	6150.4			
19/10/2006	6150.4	6183.5	6113.1	6156	1303207100	6156			
20/10/2006	6156	6199.8	6134.3	6155.2	1450615500	6155.2			
23/10/2006	6155.2	6181.1	6129.1	6166.1	1061220800	6166.1			
24/10/2006	6166.1	6186.9	6161.3	6182.5	1238923200	6182.5			
25/10/2006	6182.5	6216.1	6178.8	6214.6	1354486800	6214.6			
26/10/2006	6214.6	6244.6	6179.7	6184.8	1738351600	6184.8			
27/10/2006	6184.8	6206	6132.7	6160.9	1589175500	6160.9			
30/10/2006	6160.9	6160.9	6112.9	6126.8	1366361000	6126.8			
31/10/2006	6126.8	6149.9	6110.9	6129.2	1788183600	6129.2			
01/11/2006	6129.2	6180.7	6129.2	6149.6	1631932500	6149.6			
02/11/2006	6149.6	6172	6112.9	6149.3	1818387200	6149.3			
03/11/2006	6149.3	6177.3	6134	6148.1	1377065100	6148.1			
06/11/2006	6148.1	6224.5	6146.5	6224.5	1139977800	6224.5			
07/11/2006	6224.5	6244.5	6219.7	6244	1341969400	6244			
08/11/2006	6244	6244	6205.7	6239	1555121200	6239			
09/11/2006	6239	6250.4	6205.1	6231.5	1941091600	6231.5			
10/11/2006	6231.5	6233.1	6198.6	6208.4	1540927000	6208.4			
13/11/2006	6208.4	6239.8	6171.9	6194.2	1466749800	6194.2			
14/11/2006	6194.2	6223.9	6167.3	6186.6	1724141400	6186.6			
15/11/2006	6186.6	6229.8	6186.6	6229.8	1709608400	6229.8			
16/11/2006	6229.8	6256.8	6212.1	6254.9	1756639200	6254.9			
17/11/2006	6254.9	6254.9	6178.9	6192	1553257900	6192			
20/11/2006	6192	6218.9	6148.3	6204.5	1583123200	6204.5			
21/11/2006	6204.5	6228.4	6199.7	6202.6	1665305900	6202.6			
22/11/2006	6202.6	6233.1	6146.3	6160.3	1928778000	6160.3			
23/11/2006	6160.3	6181.7	6115.1	6140	1257256000	6140			
24/11/2006	6140	6140	6068.1	6122.1	1335559800	6122.1			
27/11/2006	6122.1	6129.5	6050.1	6050.1	1663486800	6050.1			
28/11/2006	6050.1	6062.8	6011.8	6025.9	1907684800	6025.9			
29/11/2006	6025.9	6098.6	6025.9	6084.4	1725779400	6084.4			
